com.samsung.shealth.activity.goal,6320001,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2019-08-20 19:45:16.691,2019-08-20 19:45:16.691,60,UTC+0900,X92ED7c0ra,com.sec.android.app.shealth,1566330316233,909f3f9b-7444-4b36-b914-595ce78827bd,
2019-01-01 11:45:24.810,2019-01-01 11:45:24.810,60,UTC-0400,v7IxjSR0Ie,com.sec.android.app.shealth,1546343124798,885cf089-87f1-4d87-b8b0-625311fd110c,
2019-01-20 17:50:18.696,2019-01-20 17:50:18.696,60,UTC+0800,v7IxjSR0Ie,com.sec.android.app.shealth,1548006618679,320c12d7-be5e-49be-97b9-637d6659ba7e,
2018-12-23 14:09:24.409,2018-12-23 14:09:24.409,60,UTC-0500,v7IxjSR0Ie,com.sec.android.app.shealth,1545574164400,5f56c4bb-b1bd-48cf-ad05-fd93bc4c8567,
2018-12-30 13:16:50.379,2018-12-30 13:16:50.379,60,UTC-0500,v7IxjSR0Ie,com.sec.android.app.shealth,1546175810376,d44696d4-93d5-4b97-9e4f-8b0ef3eb1e5f,
2019-01-20 20:06:59.193,2019-01-20 20:06:59.193,60,UTC+0900,v7IxjSR0Ie,com.sec.android.app.shealth,1548014819166,df64f16c-fb67-4fd4-b9c9-84ca926284f2,
2019-01-01 11:45:39.665,2019-01-01 11:45:39.665,60,UTC-0500,v7IxjSR0Ie,com.sec.android.app.shealth,1546343139664,d002adf7-2c40-41fb-a334-fdc3dbd49386,
2018-12-30 13:33:56.191,2018-12-30 13:33:56.191,60,UTC-0500,v7IxjSR0Ie,com.sec.android.app.shealth,1546176836180,a9bf8281-ebb1-48e6-8bfc-a833d7f9e367,
2018-09-19 10:17:22.370,2018-09-19 10:17:22.370,60,UTC+0900,v7IxjSR0Ie,com.sec.android.app.shealth,1537352242368,c98bcdc4-5a07-4648-8a96-489aef8662ba,
2018-12-30 13:32:21.459,2018-12-30 13:32:21.459,60,UTC-0600,v7IxjSR0Ie,com.sec.android.app.shealth,1546176741436,b884e508-f769-45c6-b660-0b809dde1637,
2018-12-30 13:10:36.580,2018-12-30 13:10:36.580,60,UTC-0600,v7IxjSR0Ie,com.sec.android.app.shealth,1546175436574,794b36f6-5d86-42d5-8e9e-8a366b3a741f,
2019-10-19 19:57:36.130,2019-10-19 19:57:36.130,60,UTC-1000,X92ED7c0ra,com.sec.android.app.shealth,1571515056129,2fe8f020-55ed-4d6f-be87-0bb0060c7ae1,
2019-10-19 19:57:36.162,2019-10-19 19:57:36.162,60,UTC-1000,X92ED7c0ra,com.sec.android.app.shealth,1571515056161,105066af-502e-4204-baee-6061cf84aa77,
2019-10-23 08:25:35.808,2019-10-23 08:25:35.808,60,UTC+0900,X92ED7c0ra,com.sec.android.app.shealth,1571819135807,5b966a31-0667-4098-b34b-dd45c979f6d9,
2019-12-21 01:31:19.749,2019-12-21 01:31:19.749,60,UTC-0500,X92ED7c0ra,com.sec.android.app.shealth,1576891879742,0de782c0-2032-48c7-9304-dd2e91ac619c,
2020-01-06 20:24:29.844,2020-01-06 20:24:29.844,60,UTC+0900,X92ED7c0ra,com.sec.android.app.shealth,1578342269843,ca4bd454-759c-4e4e-aac4-7d6435e0e03f,
2020-04-12 18:16:45.607,2020-04-12 18:16:45.607,60,UTC+0900,X92ED7c0ra,com.sec.android.app.shealth,1586715405601,e61b6977-36d6-4593-a89c-a1edfde54128,
